
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .28286     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberBusy                      .87879     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .87879     (Insuf)    .00000     1.0000     .00000    
Pellet 16.NumberBusy                        1.2669     (Insuf)    .00000     3.0000     1.0000    
Pellet 16.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 16.Utilization                       .42231     (Insuf)    .00000     1.0000     .33333    
Pellet 17.NumberBusy                        1.1019     (Corr)     .00000     3.0000     1.0000    
Pellet 17.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 17.Utilization                       .36733     (Corr)     .00000     1.0000     .33333    
Llenado.NumberBusy                          1.0000     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Empaque1.NumberBusy                         .56944     (Insuf)    .00000     1.0000     .00000    
Empaque1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque1.Utilization                        .56944     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberBusy                         .54167     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque2.Utilization                        .54167     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberBusy                          .10278     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .10278     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .08681     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino2.Utilization                         .08681     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .05556     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .05556     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        .75377     (Insuf)    .00000     2.0000     1.0000    
Pellet 67.NumberScheduled                   2.0000     (Insuf)    2.0000     2.0000     2.0000    
Pellet 67.Utilization                       .37688     (Insuf)    .00000     1.0000     .50000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 11.337     (Insuf)    .00000     34.000     .00000    
Hold 151.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 110.Queue.NumberInQueue                9.9838     (Insuf)    .00000     34.000     .00000    
Hold 136.Queue.NumberInQueue                2.7685     (Insuf)    .00000     21.000     .00000    
Process 64.Queue.NumberInQueue              .24714     (Insuf)    .00000     3.0000     .00000    
Process 23.Queue.NumberInQueue              .29634     (Corr)     .00000     1.0000     .00000    
Hold 144.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .00165     (Insuf)    .00000     1.0000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 11.060     (Insuf)    .00000     34.000     .00000    
Hold 149.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 108.Queue.NumberInQueue                .04079     (Insuf)    .00000     1.0000     .00000    
Process 77.Queue.NumberInQueue              3.3287     (Insuf)    .00000     16.000     .00000    
Process 36.Queue.NumberInQueue              .15726     (Insuf)    .00000     5.0000     .00000    
Batch 27.Queue.NumberInQueue                9.9236     (Insuf)    .00000     212.00     .00000    
Hold 40.Queue.NumberInQueue                 .08681     (Insuf)    .00000     15.000     .00000    
Hold 157.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 116.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 86.Queue.NumberInQueue                 .26782     (Corr)     .00000     1.0000     .00000    
Hold 94.Queue.NumberInQueue                 .07157     (Insuf)    .00000     1.0000     .00000    
Hold 53.Queue.NumberInQueue                 .76511     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 10.687     (Insuf)    .00000     34.000     .00000    
Hold 152.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 111.Queue.NumberInQueue                9.2917     (Insuf)    .00000     34.000     .00000    
Hold 137.Queue.NumberInQueue                3.5429     (Insuf)    .00000     26.000     .00000    
Process 65.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 24.Queue.NumberInQueue              53.130     (Corr)     .00000     263.00     .00000    
Batch 30.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 160.Queue.NumberInQueue                .59851     (Insuf)    .00000     3.0000     .00000    
Hold 25.Queue.NumberInQueue                 .27317     (Insuf)    .00000     65.000     .00000    
Hold 165.Queue.NumberInQueue                .24251     (Insuf)    .00000     2.0000     .00000    
Hold 124.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 109.Queue.NumberInQueue                .10024     (Insuf)    .00000     1.0000     .00000    
Process 37.Queue.NumberInQueue              22.683     (Insuf)    .00000     52.000     .00000    
Batch 28.Queue.NumberInQueue                .30551     (Insuf)    .00000     32.000     .00000    
Hold 38.Queue.NumberInQueue                 .23021     (Insuf)    .00000     50.000     .00000    
Process 60.Queue.NumberInQueue              .01417     (Insuf)    .00000     1.0000     .00000    
Hold 140.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Match 7.Queue1.NumberInQueue                .05645     (Insuf)    .00000     44.000     .00000    
Match 7.Queue2.NumberInQueue                .15749     (Insuf)    .00000     34.000     .00000    
Match 7.Queue3.NumberInQueue                .19985     (Insuf)    .00000     50.000     .00000    
Hold 54.Queue.NumberInQueue                 .91319     (Insuf)    .00000     1.0000     1.0000    
Hold 145.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              1.4535     (Insuf)    .00000     7.0000     .00000    
Batch 23.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 62.Queue.NumberInQueue                 10.291     (Insuf)    .00000     34.000     .00000    
