
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Hold 83.Queue.NumberInQueue                 .08509     (Insuf)    .00000     1.0000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 118.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Hold 50.Queue.NumberInQueue                 6.1740     (Corr)     .00000     49.000     .00000    
Hold 141.Queue.NumberInQueue                23.271     (Insuf)    .00000     27.000     27.000    
Hold 167.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 100.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 62.Queue.NumberInQueue              .82992     (Insuf)    .00000     5.0000     5.0000    
Hold 63.Queue.NumberInQueue                 6.0109     (Insuf)    .00000     30.000     30.000    
Hold 48.Queue.NumberInQueue                 6.3197     3.4648     .00000     45.000     .00000    
Hold 139.Queue.NumberInQueue                14.985     (Insuf)    .00000     27.000     14.000    
Process 67.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 26.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 17.Queue.NumberInQueue                .28405     (Insuf)    .00000     28.000     .00000    
Hold 162.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 121.Queue.NumberInQueue                .11749     (Insuf)    .00000     3.0000     .00000    
Hold 147.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 106.Queue.NumberInQueue                .22520     (Insuf)    .00000     1.0000     .00000    
Process 34.Queue.NumberInQueue              5.2915     (Insuf)    .00000     52.000     .00000    
Batch 25.Queue.NumberInQueue                133.28     (Insuf)    .00000     212.00     200.00    
Process 2.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Batch 33.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 84.Queue.NumberInQueue                 .86167     (Insuf)    .00000     1.0000     1.0000    
Hold 134.Queue.NumberInQueue                16.839     (Insuf)    .00000     30.000     11.000    
Hold 119.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 92.Queue.NumberInQueue                 .64486     (Insuf)    .00000     1.0000     1.0000    
Hold 51.Queue.NumberInQueue                 .68108     (Insuf)    .00000     1.0000     1.0000    
Hold 142.Queue.NumberInQueue                19.170     (Insuf)    .00000     22.000     22.000    
Hold 101.Queue.NumberInQueue                .01348     (Insuf)    .00000     1.0000     .00000    
Batch 20.Queue.NumberInQueue                38.702     (Insuf)    .00000     268.00     .00000    
Hold 150.Queue.NumberInQueue                .02409     (Insuf)    .00000     1.0000     .00000    
Hold 56.Queue.NumberInQueue                 .10673     (Insuf)    .00000     1.0000     .00000    
Hold 155.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 114.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 68.Queue.NumberInQueue              .05101     (Insuf)    .00000     1.0000     .00000    
Process 27.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 18.Queue.NumberInQueue                25.463     (Insuf)    .00000     73.000     73.000    
Hold 31.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 163.Queue.NumberInQueue                .39509     (Insuf)    .00000     1.0000     .00000    
