
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Balanza1.NumberBusy                         1.0000     (Insuf)    .00000     1.0000     1.0000    
Balanza1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Balanza1.Utilization                        1.0000     (Insuf)    .00000     1.0000     1.0000    
balanza2.NumberBusy                         3.9583     (Insuf)    .00000     4.0000     4.0000    
balanza2.NumberScheduled                    4.0000     (Insuf)    4.0000     4.0000     4.0000    
balanza2.Utilization                        .98958     (Insuf)    .00000     1.0000     1.0000    
InspeccionF.NumberBusy                      .14531     (Insuf)    .00000     1.0000     .00000    
InspeccionF.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionF.Utilization                     .14531     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberBusy                      .43630     (Insuf)    .00000     1.0000     .00000    
InspeccionQ.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
InspeccionQ.Utilization                     .43630     (Insuf)    .00000     1.0000     .00000    
Pellet 16.NumberBusy                        2.2685     (Corr)     .00000     3.0000     3.0000    
Pellet 16.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 16.Utilization                       .75618     (Corr)     .00000     1.0000     1.0000    
Pellet 17.NumberBusy                        2.2133     (Insuf)    .00000     3.0000     3.0000    
Pellet 17.NumberScheduled                   3.0000     (Insuf)    3.0000     3.0000     3.0000    
Pellet 17.Utilization                       .73779     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberBusy                          .51204     (Insuf)    .00000     1.0000     1.0000    
Llenado.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Llenado.Utilization                         .51204     (Insuf)    .00000     1.0000     1.0000    
Empaque1.NumberBusy                         .45833     (Insuf)    .00000     1.0000     .00000    
Empaque1.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque1.Utilization                        .45833     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberBusy                         .54167     (Insuf)    .00000     1.0000     .00000    
Empaque2.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Empaque2.Utilization                        .54167     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberBusy                          .08611     (Insuf)    .00000     1.0000     .00000    
Molino1.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino1.Utilization                         .08611     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberBusy                          .08403     (Insuf)    .00000     1.0000     .00000    
Molino2.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino2.Utilization                         .08403     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberBusy                          .05764     (Insuf)    .00000     1.0000     .00000    
Molino3.NumberScheduled                     1.0000     (Insuf)    1.0000     1.0000     1.0000    
Molino3.Utilization                         .05764     (Insuf)    .00000     1.0000     .00000    
Pellet 67.NumberBusy                        1.7982     (Insuf)    .00000     2.0000     2.0000    
Pellet 67.NumberScheduled                   2.0000     (Insuf)    2.0000     2.0000     2.0000    
Pellet 67.Utilization                       .89911     (Insuf)    .00000     1.0000     1.0000    
Batch 7.Queue.NumberInQueue                 .00000     (Insuf)    .00000     3.0000     .00000    
Hold 60.Queue.NumberInQueue                 28.364     (Insuf)    .00000     34.000     33.000    
Hold 151.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 110.Queue.NumberInQueue                31.601     (Insuf)    .00000     34.000     34.000    
Hold 136.Queue.NumberInQueue                16.654     (Insuf)    .00000     26.000     26.000    
Process 64.Queue.NumberInQueue              1.9014     (Insuf)    .00000     8.0000     8.0000    
Process 23.Queue.NumberInQueue              .87196     (Insuf)    .00000     2.0000     1.0000    
Hold 144.Queue.NumberInQueue                4.3705     (Insuf)    .00000     8.0000     8.0000    
Hold 103.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Batch 22.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 99.Queue.NumberInQueue                 .00000     (Insuf)    .00000     1.0000     .00000    
Hold 32.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 58.Queue.NumberInQueue                 29.884     (Insuf)    .00000     34.000     33.000    
Hold 149.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 108.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 77.Queue.NumberInQueue              3.3292     (Insuf)    .00000     16.000     .00000    
Process 36.Queue.NumberInQueue              .09746     (Insuf)    .00000     5.0000     .00000    
Batch 27.Queue.NumberInQueue                78.982     (Insuf)    .00000     212.00     121.00    
Hold 40.Queue.NumberInQueue                 .10833     (Insuf)    .00000     17.000     .00000    
Hold 157.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 116.Queue.NumberInQueue                .10552     (Insuf)    .00000     3.0000     .00000    
Hold 86.Queue.NumberInQueue                 3.8741     (Corr)     .00000     4.0000     4.0000    
Hold 94.Queue.NumberInQueue                 .64969     (Insuf)    .00000     1.0000     1.0000    
Hold 53.Queue.NumberInQueue                 .76164     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 21.569     (Insuf)    .00000     34.000     33.000    
Hold 152.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 111.Queue.NumberInQueue                28.614     (Insuf)    .00000     34.000     33.000    
Hold 137.Queue.NumberInQueue                18.403     (Insuf)    .00000     25.000     25.000    
Process 65.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Process 24.Queue.NumberInQueue              145.07     (Insuf)    .00000     285.00     107.00    
Batch 30.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 160.Queue.NumberInQueue                .07773     (Insuf)    .00000     3.0000     .00000    
Hold 25.Queue.NumberInQueue                 .29718     (Insuf)    .00000     65.000     .00000    
Hold 165.Queue.NumberInQueue                .17639     (Insuf)    .00000     1.0000     .00000    
Hold 124.Queue.NumberInQueue                1.5674     (Insuf)    .00000     3.0000     3.0000    
Hold 109.Queue.NumberInQueue                .32980     (Insuf)    .00000     1.0000     .00000    
Process 37.Queue.NumberInQueue              1.0235     (Insuf)    .00000     7.0000     .00000    
Batch 28.Queue.NumberInQueue                .23077     (Insuf)    .00000     32.000     .00000    
Hold 38.Queue.NumberInQueue                 .31329     (Insuf)    .00000     79.000     .00000    
Process 60.Queue.NumberInQueue              .37389     (Insuf)    .00000     2.0000     2.0000    
Hold 140.Queue.NumberInQueue                14.286     (Insuf)    .00000     22.000     22.000    
Match 7.Queue1.NumberInQueue                .10613     (Insuf)    .00000     28.000     .00000    
Match 7.Queue2.NumberInQueue                .31375     (Insuf)    .00000     79.000     .00000    
Match 7.Queue3.NumberInQueue                .31109     (Insuf)    .00000     66.000     .00000    
Hold 54.Queue.NumberInQueue                 .91333     (Insuf)    .00000     1.0000     1.0000    
Hold 145.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 104.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 32.Queue.NumberInQueue              1.1325     (Insuf)    .00000     9.0000     1.0000    
Batch 23.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 62.Queue.NumberInQueue                 27.771     (Insuf)    .00000     34.000     28.000    
Hold 153.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 112.Queue.NumberInQueue                29.884     (Insuf)    .00000     34.000     34.000    
Hold 59.Queue.NumberInQueue                 28.942     (Insuf)    .00000     34.000     33.000    
Process 81.Queue.NumberInQueue              1.7084     (Insuf)    .00000     11.000     .00000    
Process 66.Queue.NumberInQueue              1.8812     (Insuf)    .00000     8.0000     8.0000    
Process 25.Queue.NumberInQueue              .93742     .05240     .00000     2.0000     1.0000    
Batch 31.Queue.NumberInQueue                135.55     (Insuf)    .00000     800.00     .00000    
Batch 16.Queue.NumberInQueue                .15279     (Insuf)    .00000     24.000     .00000    
Hold 161.Queue.NumberInQueue                .41096     (Insuf)    .00000     2.0000     .00000    
Hold 120.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 26.Queue.NumberInQueue                 .12189     (Insuf)    .00000     61.000     .00000    
Hold 158.Queue.NumberInQueue                .48869     (Insuf)    .00000     3.0000     .00000    
Hold 117.Queue.NumberInQueue                1.0610     (Insuf)    .00000     2.0000     2.0000    
Hold 34.Queue.NumberInQueue                 .94236     (Insuf)    .00000     1.0000     1.0000    
Batch 29.Queue.NumberInQueue                1.8041     (Insuf)    .00000     30.000     .00000    
Hold 133.Queue.NumberInQueue                26.760     (Insuf)    .00000     33.000     33.000    
Hold 39.Queue.NumberInQueue                 .10568     (Insuf)    .00000     44.000     .00000    
Process 61.Queue.NumberInQueue              .01292     (Insuf)    .00000     1.0000     .00000    
Hold 138.Queue.NumberInQueue                16.820     (Insuf)    .00000     21.000     21.000    
Hold 55.Queue.NumberInQueue                 .89976     (Insuf)    .00000     1.0000     1.0000    
Hold 105.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 33.Queue.NumberInQueue              3.1349     (Insuf)    .00000     41.000     3.0000    
Batch 24.Queue.NumberInQueue                5.5211     (Insuf)    .00000     112.00     .00000    
Hold 154.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 113.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Process 82.Queue.NumberInQueue              .60668     (Insuf)    .00000     5.0000     .00000    
Batch 32.Queue.NumberInQueue                94.670     (Insuf)    .00000     750.00     .00000    
