SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 58.Queue.NumberInQueue                 .62461     (Insuf)    .00000     4.0000     4.0000    
Hold 108.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 36.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Batch 27.Queue.NumberInQueue                .93691     (Insuf)    .00000     5.0000     5.0000    
Hold 40.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 116.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 86.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Process 52.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 94.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 53.Queue.NumberInQueue                 .92505     (Insuf)    .00000     1.0000     1.0000    
Hold 61.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 111.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Hold 137.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 24.Queue.NumberInQueue              19.292     (Insuf)    .00000     99.000     98.000    
Hold 25.Queue.NumberInQueue                 13.402     (Insuf)    .00000     43.000     .00000    
Hold 124.Queue.NumberInQueue                .00000     (Insuf)    .00000     1.0000     1.0000    
Hold 109.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
Process 37.Queue.NumberInQueue              .00000     (Insuf)    .00000     .00000     .00000    
Hold 38.Queue.NumberInQueue                 54.910     (Insuf)    .00000     88.000     .00000    
Hold 140.Queue.NumberInQueue                .00000     (Insuf)    .00000     .00000     .00000    
