SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Hold 95.Queue.NumberInQueue                 .99911     (Insuf)    .00000     6.0000     1.0000    
Hold 54.Queue.NumberInQueue                 .99809     (Insuf)    .00000     1.0000     1.0000    
Process 32.Queue.NumberInQueue              .02736     (Insuf)    .00000     24.000     .00000    
Hold 62.Queue.NumberInQueue                 4.0007     (Insuf)    .00000     29.000     4.0000    
Hold 59.Queue.NumberInQueue                 15.000     (Insuf)    .00000     36.000     15.000    
Process 25.Queue.NumberInQueue              .00130     (Insuf)    .00000     1.0000     .00000    
Hold 67.Queue.NumberInQueue                 104.88     (Insuf)    .00000     105.00     105.00    
Hold 26.Queue.NumberInQueue                 5.5461E-04 (Insuf)    .00000     16.000     .00000    
Hold 75.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 34.Queue.NumberInQueue                 .99951     (Insuf)    .00000     1.0000     1.0000    
Hold 39.Queue.NumberInQueue                 .00323     (Insuf)    .00000     31.000     .00000    
Batch 11.Queue.NumberInQueue                .00000     (Insuf)    .00000     3.0000     .00000    
Hold 70.Queue.NumberInQueue                 26.944     (Insuf)    .00000     27.000     27.000    
Hold 96.Queue.NumberInQueue                 1.0002     (Insuf)    .00000     6.0000     1.0000    
Hold 55.Queue.NumberInQueue                 .99746     (Insuf)    .00000     1.0000     1.0000    
Process 33.Queue.NumberInQueue              .03426     (Insuf)    .00000     23.000     .00000    
Process 1.Queue.NumberInQueue               .00000     (Insuf)    .00000     .00000     .00000    
Hold 83.Queue.NumberInQueue                 9.7947E-04 (Insuf)    .00000     1.0000     .00000    
Hold 42.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 68.Queue.NumberInQueue                 61.864     (Insuf)    .00000     62.000     62.000    
Hold 27.Queue.NumberInQueue                 .00000     (Insuf)    .00000     .00000     .00000    
Hold 50.Queue.NumberInQueue                 .00000     (Insuf)    .00000     4.0000     .00000    
